,TOK,SHOT,GROUP,CONFIG,IP,BT,NEL,RGEO,AMIN,KAREA,EPSILON,DELTA,DELTAU,DELTAL,MEFF,POHM,PNBI,PECRH,PICRH,PLTH,PRAD,TAUTH,TAU98Y2,HIPB98Y2,TAU20,H20,IPN,qCYL,GWF,HIGHZ,COAT,PFIN,PRFN,PLH,SELDB5,STD3,DB2P8,AUXHEAT,PHASE,HYBRID,ITB,ITBTYPE,ELMTYPE
8703,JET,46814,MODERN,SN(L),1.861,1.995,2.301,2.89,0.9635,1.513836006,0.3333910034602076,0.2258,0.2249,0.2267,1.977,0.4254,3.9299999999999997,0.0,0.0,4.042,0.8622,0.4217,0.4012462544182422,1.050975542,0.39022927120428386,1.080646766191051,0.9681702960046717,2.606459355328629,0.36059820140595394,0,1,1.2000595039734792,0.0,3.2748376117913325,1,0.0,0.0,NB,HSELM,UNKNOWN,UNKNOWN,,TYPE-III
8704,JET,46814,MODERN,SN(L),1.865,1.979,4.841,2.912,0.9425,1.553644292,0.3236607142857143,0.2477,0.2368,0.2585,1.974,0.3548,5.813,0.0,0.0,6.007,2.6959999999999997,0.5282,0.4218553049420389,1.252088083,0.3685463527115974,1.4331982832383043,0.999888752323803,2.5145478440775535,0.7243839796148291,0,1,1.0108528326163129,0.0,5.750589811332533,1,1.0,0.0,NB,HGELM,UNKNOWN,UNKNOWN,,TYPE-I
8705,JET,46815,MODERN,SN(L),1.871,1.975,4.63,2.923,0.9372,1.571272712,0.3206294902497434,0.2551,0.2406,0.2695,1.97,0.30379999999999996,8.225999999999999,0.0,0.0,8.247,2.174,0.4059,0.33723570918532103,1.203609193,0.2998066420531333,1.3538726067585396,1.0108213531283596,2.492014870544178,0.6828442175293106,0,1,1.483061126001756,0.0,5.546635843781303,1,1.0,0.0,NB,HGELM,UNKNOWN,UNKNOWN,,TYPE-I
8706,JET,46816,MODERN,SN(L),1.8639999999999999,1.976,4.374,2.92,0.9363,1.570766787,0.3206506849315069,0.2511,0.2361,0.2661,1.976,0.3353,7.888999999999999,0.0,0.0,8.007,1.932,0.4039,0.33454511906902623,1.207310993,0.2998195367515573,1.347143699760593,1.0074974239631316,2.4995966944409953,0.6462682050746111,0,1,1.493871420088541,0.0,5.280909651201723,1,1.0,0.0,NB,HGELM,UNKNOWN,UNKNOWN,,TYPE-I
8707,JET,46816,MODERN,SN(L),1.869,1.976,4.0809999999999995,2.919,0.9365,1.568654962,0.32082905104487836,0.2533,0.2389,0.2677,1.967,0.3457,9.949,0.0,0.0,10.059999999999999,2.4779999999999998,0.3392,0.2778477161909919,1.220812626,0.25327840850366884,1.3392377265947901,1.0099841990701013,2.4914750316819987,0.6016206430285592,0,1,1.980132072038828,0.0,5.024412331120968,1,1.0,0.0,NB,HGELM,UNKNOWN,UNKNOWN,,TYPE-I
8708,JET,46818,MODERN,SN(L),1.8499999999999999,1.968,4.677,2.934,0.9268,1.563723056,0.3158827539195637,0.2463,0.22,0.2726,1.972,0.5406,5.747,0.0,0.0,5.6499999999999995,1.64,0.5004,0.43269453939403163,1.156474035,0.38074450007560207,1.3142671789103682,1.0142864160622616,2.4349786089734784,0.6822091883807948,0,1,1.0392171668696264,0.0,5.530124196573229,1,1.0,0.0,NB,HGELM,UNKNOWN,UNKNOWN,,TYPE-I
8709,JET,46818,MODERN,SN(L),1.8619999999999999,1.963,4.478,2.937,0.9186,1.577670022,0.31276813074565885,0.2505,0.2212,0.2797,1.97,0.4486,7.0729999999999995,0.0,0.0,7.449,2.9659999999999997,0.3972,0.3542854801817993,1.121129773,0.31692236887874375,1.2533037709053945,1.0326019383857181,2.3893278008261936,0.6375396026954361,0,1,1.3346487160760985,0.0,5.299521825334535,1,1.0,0.0,NB,HGELM,UNKNOWN,UNKNOWN,,TYPE-I
8711,JET,46819,MODERN,SN(L),1.8619999999999999,1.956,4.241,2.946,0.9158,1.586583496,0.3108621860149355,0.2582,0.2288,0.2877,1.969,0.35259999999999997,10.29,0.0,0.0,10.389999999999999,2.919,0.2854,0.27711859114914605,1.029883989,0.25254175608720836,1.1301101426626847,1.0394657570280614,2.3724149185631327,0.6001222749019842,0,1,2.0304267572879326,0.0,5.067900116596417,1,1.0,0.0,NB,HGELM,UNKNOWN,UNKNOWN,,TYPE-I
8712,JET,46821,MODERN,SN(L),1.869,1.966,4.429,2.935,0.9275,1.560229689,0.3160136286201022,0.2534,0.2282,0.2786,1.968,0.3208,9.648,0.0,0.0,9.626,3.1119999999999997,0.3527,0.2953570535213461,1.194147883,0.26571803322390125,1.3273468711203555,1.0249716885160944,2.4052071438944997,0.6404335694832336,0,1,1.8163404005842907,0.0,5.311779662499593,1,1.0,0.0,NB,HGELM,UNKNOWN,UNKNOWN,,TYPE-I
8713,JET,46822,MODERN,SN(L),3.2809999999999997,3.529,3.597,2.893,0.9502,1.524252903,0.3284479778776357,0.226,0.2253,0.2268,1.969,0.6482,7.455,0.0,0.0,8.123,1.9709999999999999,0.4946,0.5484023325943255,0.90189259,0.5384947675170213,0.9184861763477881,0.9784520465155089,2.5583153796210634,0.3109668771335106,0,1,1.042255802521328,0.0,7.152754613565652,1,1.0,0.0,NB,HSELM,UNKNOWN,UNKNOWN,,TYPE-III
